Overriding: device = cuda
Overriding: compile = False
tokens per iteration will be: 4,096
found vocab_size = 50257 (inside data\tool\meta.pkl)
Initializing a new model from scratch
number of parameters: 16.01M
C:\Users\Rayya\cs_gpt_tool\GPT-tool\train.py:199: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 18, with 16,077,056 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
[34m[1mwandb[0m: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
step 0: train loss 10.9820, val loss 10.9813
iter 0: loss 10.9882, time 4391.87ms, mfu -100.00%
iter 1: loss 10.9780, time 24.34ms, mfu -100.00%
iter 2: loss 10.9745, time 116.66ms, mfu -100.00%
iter 3: loss 10.9526, time 112.69ms, mfu -100.00%
iter 4: loss 10.9348, time 119.78ms, mfu -100.00%
iter 5: loss 10.9122, time 120.11ms, mfu 1.08%
iter 6: loss 10.8911, time 108.68ms, mfu 1.10%
iter 7: loss 10.8506, time 118.92ms, mfu 1.10%
iter 8: loss 10.8100, time 116.81ms, mfu 1.10%
iter 9: loss 10.7712, time 111.16ms, mfu 1.11%
iter 10: loss 10.7217, time 115.96ms, mfu 1.11%
iter 11: loss 10.6718, time 113.49ms, mfu 1.11%
iter 12: loss 10.6173, time 127.77ms, mfu 1.10%
iter 13: loss 10.5645, time 115.72ms, mfu 1.10%
iter 14: loss 10.5030, time 121.23ms, mfu 1.10%
iter 15: loss 10.4471, time 124.19ms, mfu 1.10%
iter 16: loss 10.3720, time 120.68ms, mfu 1.09%
iter 17: loss 10.3153, time 122.67ms, mfu 1.09%
iter 18: loss 10.2495, time 125.47ms, mfu 1.09%
iter 19: loss 10.1826, time 121.43ms, mfu 1.08%
iter 20: loss 10.1146, time 135.53ms, mfu 1.07%
iter 21: loss 10.0590, time 113.20ms, mfu 1.08%
iter 22: loss 10.0003, time 132.82ms, mfu 1.07%
iter 23: loss 9.9352, time 123.87ms, mfu 1.07%
iter 24: loss 9.8739, time 117.30ms, mfu 1.07%
iter 25: loss 9.8105, time 121.42ms, mfu 1.07%
iter 26: loss 9.7553, time 127.93ms, mfu 1.07%
iter 27: loss 9.6926, time 124.94ms, mfu 1.06%
iter 28: loss 9.6285, time 116.46ms, mfu 1.07%
iter 29: loss 9.5628, time 124.59ms, mfu 1.07%
iter 30: loss 9.5151, time 124.94ms, mfu 1.07%
iter 31: loss 9.4544, time 125.05ms, mfu 1.06%
iter 32: loss 9.3855, time 120.00ms, mfu 1.07%
iter 33: loss 9.3303, time 120.11ms, mfu 1.07%
iter 34: loss 9.2602, time 118.88ms, mfu 1.07%
iter 35: loss 9.2106, time 122.29ms, mfu 1.07%
iter 36: loss 9.1418, time 120.65ms, mfu 1.07%
iter 37: loss 9.0757, time 121.59ms, mfu 1.07%
iter 38: loss 9.0035, time 121.46ms, mfu 1.07%
iter 39: loss 8.9544, time 118.37ms, mfu 1.07%
iter 40: loss 8.8820, time 118.57ms, mfu 1.08%
iter 41: loss 8.8162, time 121.04ms, mfu 1.08%
iter 42: loss 8.7664, time 120.63ms, mfu 1.08%
iter 43: loss 8.6966, time 122.13ms, mfu 1.08%
iter 44: loss 8.6319, time 118.94ms, mfu 1.08%
iter 45: loss 8.5736, time 119.95ms, mfu 1.08%
iter 46: loss 8.5122, time 119.24ms, mfu 1.08%
iter 47: loss 8.4639, time 121.28ms, mfu 1.08%
iter 48: loss 8.3859, time 120.86ms, mfu 1.08%
iter 49: loss 8.3281, time 131.96ms, mfu 1.07%
iter 50: loss 8.2706, time 115.45ms, mfu 1.08%
iter 51: loss 8.2105, time 110.90ms, mfu 1.09%
iter 52: loss 8.1541, time 133.65ms, mfu 1.07%
iter 53: loss 8.0930, time 118.65ms, mfu 1.08%
iter 54: loss 8.0401, time 113.89ms, mfu 1.08%
iter 55: loss 7.9871, time 137.18ms, mfu 1.07%
iter 56: loss 7.9346, time 116.15ms, mfu 1.08%
iter 57: loss 7.8602, time 122.16ms, mfu 1.07%
iter 58: loss 7.8398, time 112.43ms, mfu 1.08%
iter 59: loss 7.7813, time 123.75ms, mfu 1.08%
iter 60: loss 7.7217, time 123.25ms, mfu 1.08%
iter 61: loss 7.6841, time 126.58ms, mfu 1.07%
iter 62: loss 7.6331, time 126.24ms, mfu 1.07%
iter 63: loss 7.5850, time 118.60ms, mfu 1.07%
iter 64: loss 7.5499, time 116.49ms, mfu 1.08%
iter 65: loss 7.4977, time 128.06ms, mfu 1.07%
iter 66: loss 7.4611, time 116.73ms, mfu 1.07%
iter 67: loss 7.4299, time 132.14ms, mfu 1.07%
iter 68: loss 7.3980, time 113.39ms, mfu 1.07%
iter 69: loss 7.3539, time 126.43ms, mfu 1.07%
iter 70: loss 7.3158, time 126.25ms, mfu 1.07%
iter 71: loss 7.2786, time 123.00ms, mfu 1.07%
iter 72: loss 7.2679, time 121.63ms, mfu 1.07%
iter 73: loss 7.2103, time 123.52ms, mfu 1.06%
iter 74: loss 7.1852, time 119.44ms, mfu 1.07%
iter 75: loss 7.1447, time 122.03ms, mfu 1.07%
iter 76: loss 7.1225, time 121.11ms, mfu 1.07%
iter 77: loss 7.0992, time 121.22ms, mfu 1.07%
iter 78: loss 7.0776, time 119.59ms, mfu 1.07%
iter 79: loss 7.0416, time 120.07ms, mfu 1.07%
iter 80: loss 7.0184, time 127.03ms, mfu 1.07%
iter 81: loss 6.9820, time 121.50ms, mfu 1.07%
iter 82: loss 6.9519, time 119.01ms, mfu 1.07%
iter 83: loss 6.9234, time 122.41ms, mfu 1.07%
iter 84: loss 6.8987, time 118.30ms, mfu 1.07%
iter 85: loss 6.8728, time 124.69ms, mfu 1.07%
iter 86: loss 6.8657, time 120.11ms, mfu 1.07%
iter 87: loss 6.8429, time 124.81ms, mfu 1.07%
iter 88: loss 6.8291, time 121.11ms, mfu 1.07%
iter 89: loss 6.7922, time 120.13ms, mfu 1.07%
iter 90: loss 6.7851, time 118.18ms, mfu 1.07%
iter 91: loss 6.7469, time 121.84ms, mfu 1.07%
iter 92: loss 6.7288, time 124.28ms, mfu 1.07%
iter 93: loss 6.7208, time 121.72ms, mfu 1.07%
iter 94: loss 6.6980, time 117.22ms, mfu 1.08%
iter 95: loss 6.6657, time 118.92ms, mfu 1.08%
iter 96: loss 6.6566, time 122.97ms, mfu 1.08%
iter 97: loss 6.6197, time 115.67ms, mfu 1.08%
iter 98: loss 6.6129, time 122.29ms, mfu 1.08%
