Overriding: device = cuda
Overriding: compile = False
tokens per iteration will be: 4,096
found vocab_size = 50257 (inside data\tool\meta.pkl)
Initializing a new model from scratch
number of parameters: 16.01M
C:\Users\Rayya\cs_gpt_tool\GPT-tool\train.py:199: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 18, with 16,077,056 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
[34m[1mwandb[0m: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
step 0: train loss 10.9820, val loss 10.9813
iter 0: loss 10.9882, time 3462.66ms, mfu -100.00%
iter 1: loss 10.9780, time 31.46ms, mfu -100.00%
iter 2: loss 10.9745, time 115.19ms, mfu -100.00%
iter 3: loss 10.9526, time 117.62ms, mfu -100.00%
iter 4: loss 10.9348, time 114.06ms, mfu -100.00%
iter 5: loss 10.9122, time 124.25ms, mfu 1.05%
iter 6: loss 10.8911, time 120.95ms, mfu 1.05%
iter 7: loss 10.8506, time 123.13ms, mfu 1.05%
iter 8: loss 10.8100, time 121.10ms, mfu 1.05%
iter 9: loss 10.7712, time 120.63ms, mfu 1.06%
iter 10: loss 10.7217, time 128.39ms, mfu 1.05%
iter 11: loss 10.6718, time 118.89ms, mfu 1.06%
iter 12: loss 10.6173, time 128.42ms, mfu 1.05%
iter 13: loss 10.5645, time 138.83ms, mfu 1.04%
iter 14: loss 10.5030, time 137.95ms, mfu 1.03%
iter 15: loss 10.4471, time 131.08ms, mfu 1.03%
iter 16: loss 10.3720, time 134.09ms, mfu 1.02%
iter 17: loss 10.3153, time 131.74ms, mfu 1.02%
iter 18: loss 10.2495, time 133.21ms, mfu 1.01%
iter 19: loss 10.1826, time 123.90ms, mfu 1.02%
iter 20: loss 10.1146, time 138.44ms, mfu 1.01%
iter 21: loss 10.0590, time 125.90ms, mfu 1.01%
iter 22: loss 10.0003, time 130.10ms, mfu 1.01%
iter 23: loss 9.9352, time 127.71ms, mfu 1.01%
iter 24: loss 9.8739, time 127.95ms, mfu 1.01%
iter 25: loss 9.8105, time 130.27ms, mfu 1.01%
iter 26: loss 9.7553, time 126.24ms, mfu 1.01%
iter 27: loss 9.6926, time 124.39ms, mfu 1.02%
iter 28: loss 9.6285, time 133.38ms, mfu 1.01%
iter 29: loss 9.5628, time 125.28ms, mfu 1.02%
iter 30: loss 9.5151, time 130.17ms, mfu 1.01%
iter 31: loss 9.4544, time 130.23ms, mfu 1.01%
iter 32: loss 9.3855, time 135.63ms, mfu 1.01%
iter 33: loss 9.3303, time 127.47ms, mfu 1.01%
iter 34: loss 9.2602, time 131.90ms, mfu 1.01%
iter 35: loss 9.2106, time 127.36ms, mfu 1.01%
iter 36: loss 9.1418, time 133.85ms, mfu 1.01%
iter 37: loss 9.0757, time 130.79ms, mfu 1.00%
iter 38: loss 9.0035, time 124.12ms, mfu 1.01%
iter 39: loss 8.9544, time 131.09ms, mfu 1.01%
iter 40: loss 8.8820, time 131.88ms, mfu 1.01%
iter 41: loss 8.8162, time 128.53ms, mfu 1.01%
iter 42: loss 8.7664, time 131.20ms, mfu 1.00%
iter 43: loss 8.6966, time 126.25ms, mfu 1.01%
iter 44: loss 8.6319, time 129.98ms, mfu 1.01%
iter 45: loss 8.5736, time 130.42ms, mfu 1.01%
iter 46: loss 8.5122, time 133.29ms, mfu 1.00%
iter 47: loss 8.4639, time 128.26ms, mfu 1.00%
iter 48: loss 8.3859, time 128.79ms, mfu 1.01%
iter 49: loss 8.3281, time 126.98ms, mfu 1.01%
iter 50: loss 8.2706, time 142.34ms, mfu 1.00%
iter 51: loss 8.2105, time 129.51ms, mfu 1.00%
iter 52: loss 8.1541, time 127.05ms, mfu 1.00%
iter 53: loss 8.0930, time 132.30ms, mfu 1.00%
iter 54: loss 8.0401, time 134.06ms, mfu 1.00%
iter 55: loss 7.9871, time 132.05ms, mfu 1.00%
iter 56: loss 7.9346, time 133.90ms, mfu 0.99%
iter 57: loss 7.8602, time 139.54ms, mfu 0.99%
iter 58: loss 7.8398, time 129.99ms, mfu 0.99%
iter 59: loss 7.7813, time 130.62ms, mfu 0.99%
iter 60: loss 7.7217, time 137.27ms, mfu 0.99%
iter 61: loss 7.6841, time 124.59ms, mfu 0.99%
iter 62: loss 7.6331, time 132.77ms, mfu 0.99%
iter 63: loss 7.5850, time 133.83ms, mfu 0.99%
iter 64: loss 7.5499, time 125.17ms, mfu 0.99%
iter 65: loss 7.4977, time 131.65ms, mfu 0.99%
iter 66: loss 7.4611, time 131.47ms, mfu 0.99%
iter 67: loss 7.4299, time 128.24ms, mfu 1.00%
iter 68: loss 7.3980, time 130.44ms, mfu 1.00%
iter 69: loss 7.3539, time 125.47ms, mfu 1.00%
iter 70: loss 7.3158, time 135.98ms, mfu 1.00%
iter 71: loss 7.2786, time 125.97ms, mfu 1.00%
iter 72: loss 7.2679, time 130.59ms, mfu 1.00%
iter 73: loss 7.2103, time 125.62ms, mfu 1.00%
iter 74: loss 7.1852, time 127.42ms, mfu 1.01%
iter 75: loss 7.1447, time 128.38ms, mfu 1.01%
iter 76: loss 7.1225, time 128.33ms, mfu 1.01%
iter 77: loss 7.0992, time 132.08ms, mfu 1.00%
iter 78: loss 7.0776, time 123.71ms, mfu 1.01%
iter 79: loss 7.0416, time 137.25ms, mfu 1.00%
iter 80: loss 7.0184, time 129.70ms, mfu 1.00%
iter 81: loss 6.9820, time 129.87ms, mfu 1.00%
iter 82: loss 6.9519, time 127.16ms, mfu 1.01%
iter 83: loss 6.9234, time 132.48ms, mfu 1.00%
iter 84: loss 6.8987, time 126.64ms, mfu 1.01%
iter 85: loss 6.8728, time 130.96ms, mfu 1.00%
iter 86: loss 6.8657, time 125.88ms, mfu 1.01%
iter 87: loss 6.8429, time 129.07ms, mfu 1.01%
iter 88: loss 6.8291, time 129.41ms, mfu 1.01%
iter 89: loss 6.7922, time 127.36ms, mfu 1.01%
iter 90: loss 6.7851, time 137.94ms, mfu 1.00%
iter 91: loss 6.7469, time 133.95ms, mfu 1.00%
iter 92: loss 6.7288, time 125.88ms, mfu 1.00%
iter 93: loss 6.7208, time 137.30ms, mfu 1.00%
iter 94: loss 6.6980, time 132.05ms, mfu 1.00%
iter 95: loss 6.6657, time 134.28ms, mfu 0.99%
iter 96: loss 6.6566, time 126.22ms, mfu 1.00%
iter 97: loss 6.6197, time 134.36ms, mfu 1.00%
iter 98: loss 6.6129, time 135.90ms, mfu 0.99%
