Overriding: device = cuda
Overriding: compile = False
tokens per iteration will be: 4,096
found vocab_size = 50257 (inside data\tool\meta.pkl)
Initializing a new model from scratch
number of parameters: 16.01M
C:\Users\Rayya\cs_gpt_tool\GPT-tool\train.py:199: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 18, with 16,077,056 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
[34m[1mwandb[0m: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
step 0: train loss 10.9820, val loss 10.9813
iter 0: loss 10.9882, time 3437.38ms, mfu -100.00%
iter 1: loss 10.9780, time 26.20ms, mfu -100.00%
iter 2: loss 10.9745, time 122.84ms, mfu -100.00%
iter 3: loss 10.9526, time 117.19ms, mfu -100.00%
iter 4: loss 10.9348, time 118.45ms, mfu -100.00%
iter 5: loss 10.9122, time 123.64ms, mfu 1.05%
iter 6: loss 10.8911, time 123.54ms, mfu 1.05%
iter 7: loss 10.8506, time 129.64ms, mfu 1.05%
iter 8: loss 10.8100, time 130.56ms, mfu 1.04%
iter 9: loss 10.7712, time 129.38ms, mfu 1.04%
iter 10: loss 10.7217, time 140.14ms, mfu 1.03%
iter 11: loss 10.6718, time 138.68ms, mfu 1.02%
iter 12: loss 10.6173, time 136.60ms, mfu 1.01%
iter 13: loss 10.5645, time 135.91ms, mfu 1.01%
iter 14: loss 10.5030, time 144.61ms, mfu 1.00%
iter 15: loss 10.4471, time 138.14ms, mfu 0.99%
iter 16: loss 10.3720, time 131.92ms, mfu 0.99%
iter 17: loss 10.3153, time 139.25ms, mfu 0.99%
iter 18: loss 10.2495, time 134.28ms, mfu 0.98%
iter 19: loss 10.1826, time 133.70ms, mfu 0.98%
iter 20: loss 10.1146, time 142.93ms, mfu 0.98%
iter 21: loss 10.0590, time 136.77ms, mfu 0.97%
iter 22: loss 10.0003, time 148.43ms, mfu 0.96%
iter 23: loss 9.9352, time 137.88ms, mfu 0.96%
iter 24: loss 9.8739, time 147.98ms, mfu 0.95%
iter 25: loss 9.8105, time 133.90ms, mfu 0.96%
iter 26: loss 9.7553, time 148.16ms, mfu 0.95%
iter 27: loss 9.6926, time 135.14ms, mfu 0.95%
iter 28: loss 9.6285, time 141.64ms, mfu 0.95%
iter 29: loss 9.5628, time 140.20ms, mfu 0.95%
iter 30: loss 9.5151, time 138.83ms, mfu 0.94%
iter 31: loss 9.4544, time 139.14ms, mfu 0.94%
iter 32: loss 9.3855, time 135.30ms, mfu 0.95%
iter 33: loss 9.3303, time 136.34ms, mfu 0.95%
iter 34: loss 9.2602, time 138.38ms, mfu 0.95%
iter 35: loss 9.2106, time 139.38ms, mfu 0.94%
iter 36: loss 9.1418, time 139.89ms, mfu 0.94%
iter 37: loss 9.0757, time 131.56ms, mfu 0.95%
iter 38: loss 9.0035, time 146.25ms, mfu 0.94%
iter 39: loss 8.9544, time 136.14ms, mfu 0.94%
iter 40: loss 8.8820, time 141.65ms, mfu 0.94%
iter 41: loss 8.8162, time 134.07ms, mfu 0.94%
iter 42: loss 8.7664, time 137.30ms, mfu 0.94%
iter 43: loss 8.6966, time 147.20ms, mfu 0.94%
iter 44: loss 8.6319, time 131.82ms, mfu 0.94%
iter 45: loss 8.5736, time 139.43ms, mfu 0.94%
iter 46: loss 8.5122, time 141.28ms, mfu 0.94%
iter 47: loss 8.4639, time 130.47ms, mfu 0.95%
iter 48: loss 8.3859, time 140.19ms, mfu 0.94%
iter 49: loss 8.3281, time 141.88ms, mfu 0.94%
iter 50: loss 8.2706, time 139.39ms, mfu 0.94%
iter 51: loss 8.2105, time 138.51ms, mfu 0.94%
iter 52: loss 8.1541, time 131.80ms, mfu 0.95%
iter 53: loss 8.0930, time 139.58ms, mfu 0.94%
iter 54: loss 8.0401, time 141.65ms, mfu 0.94%
iter 55: loss 7.9871, time 139.25ms, mfu 0.94%
iter 56: loss 7.9346, time 135.59ms, mfu 0.94%
iter 57: loss 7.8602, time 136.78ms, mfu 0.94%
iter 58: loss 7.8398, time 143.51ms, mfu 0.94%
iter 59: loss 7.7813, time 138.89ms, mfu 0.94%
iter 60: loss 7.7217, time 150.43ms, mfu 0.93%
iter 61: loss 7.6841, time 142.89ms, mfu 0.93%
iter 62: loss 7.6331, time 138.84ms, mfu 0.93%
iter 63: loss 7.5850, time 145.85ms, mfu 0.93%
iter 64: loss 7.5499, time 136.45ms, mfu 0.93%
iter 65: loss 7.4977, time 141.60ms, mfu 0.93%
iter 66: loss 7.4611, time 139.76ms, mfu 0.93%
iter 67: loss 7.4299, time 130.59ms, mfu 0.94%
iter 68: loss 7.3980, time 145.80ms, mfu 0.93%
iter 69: loss 7.3539, time 142.11ms, mfu 0.93%
iter 70: loss 7.3158, time 132.90ms, mfu 0.94%
iter 71: loss 7.2786, time 137.62ms, mfu 0.94%
iter 72: loss 7.2679, time 141.32ms, mfu 0.94%
iter 73: loss 7.2103, time 137.15ms, mfu 0.94%
iter 74: loss 7.1852, time 132.69ms, mfu 0.94%
iter 75: loss 7.1447, time 139.07ms, mfu 0.94%
iter 76: loss 7.1225, time 140.37ms, mfu 0.94%
iter 77: loss 7.0992, time 139.10ms, mfu 0.94%
iter 78: loss 7.0776, time 131.69ms, mfu 0.94%
iter 79: loss 7.0416, time 133.87ms, mfu 0.95%
iter 80: loss 7.0184, time 139.81ms, mfu 0.95%
iter 81: loss 6.9820, time 130.17ms, mfu 0.95%
iter 82: loss 6.9519, time 147.24ms, mfu 0.94%
iter 83: loss 6.9234, time 136.54ms, mfu 0.95%
iter 84: loss 6.8987, time 134.81ms, mfu 0.95%
iter 85: loss 6.8728, time 131.00ms, mfu 0.95%
iter 86: loss 6.8657, time 138.99ms, mfu 0.95%
iter 87: loss 6.8429, time 139.00ms, mfu 0.95%
iter 88: loss 6.8291, time 139.62ms, mfu 0.95%
iter 89: loss 6.7922, time 137.25ms, mfu 0.95%
iter 90: loss 6.7851, time 138.24ms, mfu 0.95%
iter 91: loss 6.7469, time 138.04ms, mfu 0.95%
iter 92: loss 6.7288, time 144.04ms, mfu 0.94%
iter 93: loss 6.7208, time 140.26ms, mfu 0.94%
iter 94: loss 6.6980, time 137.97ms, mfu 0.94%
iter 95: loss 6.6657, time 142.18ms, mfu 0.94%
iter 96: loss 6.6566, time 160.04ms, mfu 0.93%
iter 97: loss 6.6197, time 134.49ms, mfu 0.93%
iter 98: loss 6.6129, time 142.01ms, mfu 0.93%
