Overriding: device = cuda
Overriding: compile = False
tokens per iteration will be: 4,096
found vocab_size = 50257 (inside data\tool\meta.pkl)
Initializing a new model from scratch
number of parameters: 16.01M
C:\Users\Rayya\cs_gpt_tool\GPT-tool\train.py:199: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 18, with 16,077,056 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
[34m[1mwandb[0m: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
step 0: train loss 10.9820, val loss 10.9813
iter 0: loss 10.9882, time 3284.10ms, mfu -100.00%
iter 1: loss 10.9780, time 26.88ms, mfu -100.00%
iter 2: loss 10.9745, time 119.90ms, mfu -100.00%
iter 3: loss 10.9526, time 119.61ms, mfu -100.00%
iter 4: loss 10.9348, time 115.39ms, mfu -100.00%
iter 5: loss 10.9122, time 114.63ms, mfu 1.14%
iter 6: loss 10.8911, time 123.34ms, mfu 1.13%
iter 7: loss 10.8506, time 128.88ms, mfu 1.12%
iter 8: loss 10.8100, time 125.65ms, mfu 1.11%
iter 9: loss 10.7712, time 129.90ms, mfu 1.10%
iter 10: loss 10.7217, time 137.96ms, mfu 1.08%
iter 11: loss 10.6718, time 131.52ms, mfu 1.07%
iter 12: loss 10.6173, time 134.09ms, mfu 1.06%
iter 13: loss 10.5645, time 135.17ms, mfu 1.05%
iter 14: loss 10.5030, time 131.66ms, mfu 1.05%
iter 15: loss 10.4471, time 132.11ms, mfu 1.04%
iter 16: loss 10.3720, time 134.02ms, mfu 1.03%
iter 17: loss 10.3153, time 123.57ms, mfu 1.04%
iter 18: loss 10.2495, time 136.89ms, mfu 1.03%
iter 19: loss 10.1826, time 133.98ms, mfu 1.02%
iter 20: loss 10.1146, time 129.79ms, mfu 1.02%
iter 21: loss 10.0590, time 125.79ms, mfu 1.02%
iter 22: loss 10.0003, time 128.66ms, mfu 1.02%
iter 23: loss 9.9352, time 124.51ms, mfu 1.02%
iter 24: loss 9.8739, time 128.49ms, mfu 1.02%
iter 25: loss 9.8105, time 130.05ms, mfu 1.02%
iter 26: loss 9.7553, time 128.71ms, mfu 1.02%
iter 27: loss 9.6926, time 124.57ms, mfu 1.02%
iter 28: loss 9.6285, time 132.89ms, mfu 1.02%
iter 29: loss 9.5628, time 133.14ms, mfu 1.01%
iter 30: loss 9.5151, time 126.94ms, mfu 1.02%
iter 31: loss 9.4544, time 127.38ms, mfu 1.02%
iter 32: loss 9.3855, time 132.21ms, mfu 1.01%
iter 33: loss 9.3303, time 123.73ms, mfu 1.02%
iter 34: loss 9.2602, time 129.69ms, mfu 1.02%
iter 35: loss 9.2106, time 131.79ms, mfu 1.01%
iter 36: loss 9.1418, time 124.10ms, mfu 1.02%
iter 37: loss 9.0757, time 136.87ms, mfu 1.01%
iter 38: loss 9.0035, time 136.27ms, mfu 1.00%
iter 39: loss 8.9544, time 130.60ms, mfu 1.00%
iter 40: loss 8.8820, time 133.27ms, mfu 1.00%
iter 41: loss 8.8162, time 133.63ms, mfu 1.00%
iter 42: loss 8.7664, time 134.46ms, mfu 1.00%
iter 43: loss 8.6966, time 132.47ms, mfu 0.99%
iter 44: loss 8.6319, time 126.94ms, mfu 1.00%
iter 45: loss 8.5736, time 133.42ms, mfu 1.00%
iter 46: loss 8.5122, time 130.12ms, mfu 1.00%
iter 47: loss 8.4639, time 129.21ms, mfu 1.00%
iter 48: loss 8.3859, time 139.29ms, mfu 0.99%
iter 49: loss 8.3281, time 133.01ms, mfu 0.99%
iter 50: loss 8.2706, time 128.86ms, mfu 0.99%
iter 51: loss 8.2105, time 129.53ms, mfu 0.99%
iter 52: loss 8.1541, time 132.68ms, mfu 0.99%
iter 53: loss 8.0930, time 133.34ms, mfu 0.99%
iter 54: loss 8.0401, time 135.45ms, mfu 0.99%
iter 55: loss 7.9871, time 127.21ms, mfu 0.99%
iter 56: loss 7.9346, time 134.03ms, mfu 0.99%
iter 57: loss 7.8602, time 131.32ms, mfu 0.99%
iter 58: loss 7.8398, time 142.65ms, mfu 0.98%
iter 59: loss 7.7813, time 127.69ms, mfu 0.99%
iter 60: loss 7.7217, time 134.61ms, mfu 0.98%
iter 61: loss 7.6841, time 130.48ms, mfu 0.99%
iter 62: loss 7.6331, time 131.86ms, mfu 0.99%
iter 63: loss 7.5850, time 127.65ms, mfu 0.99%
iter 64: loss 7.5499, time 128.08ms, mfu 0.99%
iter 65: loss 7.4977, time 131.63ms, mfu 0.99%
iter 66: loss 7.4611, time 129.30ms, mfu 0.99%
iter 67: loss 7.4299, time 127.73ms, mfu 1.00%
iter 68: loss 7.3980, time 130.97ms, mfu 1.00%
iter 69: loss 7.3539, time 126.78ms, mfu 1.00%
iter 70: loss 7.3158, time 129.15ms, mfu 1.00%
iter 71: loss 7.2786, time 127.60ms, mfu 1.00%
iter 72: loss 7.2679, time 121.91ms, mfu 1.01%
iter 73: loss 7.2103, time 132.71ms, mfu 1.01%
iter 74: loss 7.1852, time 136.17ms, mfu 1.00%
iter 75: loss 7.1447, time 125.64ms, mfu 1.00%
iter 76: loss 7.1225, time 132.85ms, mfu 1.00%
iter 77: loss 7.0992, time 137.15ms, mfu 1.00%
iter 78: loss 7.0776, time 128.82ms, mfu 1.00%
iter 79: loss 7.0416, time 140.53ms, mfu 0.99%
iter 80: loss 7.0184, time 130.29ms, mfu 0.99%
iter 81: loss 6.9820, time 139.63ms, mfu 0.99%
iter 82: loss 6.9519, time 132.12ms, mfu 0.99%
iter 83: loss 6.9234, time 122.04ms, mfu 0.99%
iter 84: loss 6.8987, time 131.69ms, mfu 0.99%
iter 85: loss 6.8728, time 136.91ms, mfu 0.99%
iter 86: loss 6.8657, time 131.67ms, mfu 0.99%
iter 87: loss 6.8429, time 128.60ms, mfu 0.99%
iter 88: loss 6.8291, time 130.31ms, mfu 0.99%
iter 89: loss 6.7922, time 128.13ms, mfu 1.00%
iter 90: loss 6.7851, time 125.72ms, mfu 1.00%
iter 91: loss 6.7469, time 134.38ms, mfu 1.00%
iter 92: loss 6.7288, time 125.48ms, mfu 1.00%
iter 93: loss 6.7208, time 131.65ms, mfu 1.00%
iter 94: loss 6.6980, time 131.50ms, mfu 1.00%
iter 95: loss 6.6657, time 127.34ms, mfu 1.00%
iter 96: loss 6.6566, time 125.75ms, mfu 1.00%
iter 97: loss 6.6197, time 130.86ms, mfu 1.00%
iter 98: loss 6.6129, time 134.26ms, mfu 1.00%
