Overriding: device = cuda
Overriding: compile = False
tokens per iteration will be: 4,096
found vocab_size = 36 (inside data\tool\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
C:\Users\Rayya\cs_gpt_tool\GPT-tool\train.py:199: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 18, with 3,220,480 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
[34m[1mwandb[0m: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
step 0: train loss 3.6255, val loss 3.6261
iter 0: loss 3.6290, time 1722.44ms, mfu -100.00%
iter 1: loss 3.6245, time 27.46ms, mfu -100.00%
iter 2: loss 3.6185, time 29.79ms, mfu -100.00%
iter 3: loss 3.6070, time 24.67ms, mfu -100.00%
iter 4: loss 3.5910, time 25.98ms, mfu -100.00%
iter 5: loss 3.5734, time 26.97ms, mfu 1.08%
iter 6: loss 3.5525, time 28.12ms, mfu 1.07%
iter 7: loss 3.5302, time 24.04ms, mfu 1.08%
iter 8: loss 3.5127, time 26.92ms, mfu 1.08%
iter 9: loss 3.4863, time 29.53ms, mfu 1.07%
iter 10: loss 3.4556, time 23.20ms, mfu 1.09%
iter 11: loss 3.4150, time 27.31ms, mfu 1.09%
iter 12: loss 3.3862, time 29.47ms, mfu 1.08%
iter 13: loss 3.3568, time 27.58ms, mfu 1.08%
iter 14: loss 3.3199, time 26.18ms, mfu 1.08%
iter 15: loss 3.2880, time 20.93ms, mfu 1.11%
iter 16: loss 3.2511, time 30.45ms, mfu 1.09%
iter 17: loss 3.2293, time 25.78ms, mfu 1.10%
iter 18: loss 3.1951, time 25.06ms, mfu 1.10%
iter 19: loss 3.1738, time 31.38ms, mfu 1.08%
iter 20: loss 3.1245, time 25.22ms, mfu 1.09%
iter 21: loss 3.1036, time 25.64ms, mfu 1.10%
iter 22: loss 3.0626, time 28.94ms, mfu 1.09%
iter 23: loss 3.0343, time 18.21ms, mfu 1.14%
iter 24: loss 3.0037, time 26.42ms, mfu 1.13%
iter 25: loss 2.9661, time 22.20ms, mfu 1.15%
iter 26: loss 2.9398, time 26.10ms, mfu 1.15%
iter 27: loss 2.9006, time 32.08ms, mfu 1.12%
iter 28: loss 2.8629, time 31.12ms, mfu 1.10%
iter 29: loss 2.8014, time 24.85ms, mfu 1.11%
iter 30: loss 2.7664, time 23.89ms, mfu 1.12%
iter 31: loss 2.7021, time 32.29ms, mfu 1.10%
iter 32: loss 2.6740, time 24.15ms, mfu 1.11%
iter 33: loss 2.6425, time 29.26ms, mfu 1.10%
iter 34: loss 2.5903, time 28.70ms, mfu 1.09%
iter 35: loss 2.5470, time 25.89ms, mfu 1.09%
iter 36: loss 2.4960, time 22.70ms, mfu 1.11%
iter 37: loss 2.4688, time 30.22ms, mfu 1.09%
iter 38: loss 2.4174, time 26.78ms, mfu 1.09%
iter 39: loss 2.3556, time 25.06ms, mfu 1.10%
iter 40: loss 2.3339, time 24.27ms, mfu 1.11%
iter 41: loss 2.3082, time 32.90ms, mfu 1.09%
iter 42: loss 2.2685, time 25.03ms, mfu 1.09%
iter 43: loss 2.2224, time 31.96ms, mfu 1.08%
iter 44: loss 2.1958, time 28.47ms, mfu 1.07%
iter 45: loss 2.1572, time 26.69ms, mfu 1.07%
iter 46: loss 2.1307, time 23.88ms, mfu 1.09%
iter 47: loss 2.0834, time 24.69ms, mfu 1.09%
iter 48: loss 2.0648, time 36.06ms, mfu 1.07%
iter 49: loss 2.0338, time 29.72ms, mfu 1.06%
iter 50: loss 2.0043, time 27.92ms, mfu 1.05%
iter 51: loss 1.9857, time 28.17ms, mfu 1.05%
iter 52: loss 1.9439, time 29.51ms, mfu 1.05%
iter 53: loss 1.9209, time 35.30ms, mfu 1.02%
iter 54: loss 1.8980, time 29.83ms, mfu 1.02%
iter 55: loss 1.8778, time 27.56ms, mfu 1.02%
iter 56: loss 1.8501, time 25.27ms, mfu 1.03%
iter 57: loss 1.8357, time 30.69ms, mfu 1.02%
iter 58: loss 1.8056, time 33.12ms, mfu 1.01%
iter 59: loss 1.7959, time 24.59ms, mfu 1.03%
iter 60: loss 1.7692, time 24.88ms, mfu 1.04%
iter 61: loss 1.7424, time 36.17ms, mfu 1.02%
iter 62: loss 1.7326, time 28.61ms, mfu 1.02%
iter 63: loss 1.7098, time 32.87ms, mfu 1.00%
iter 64: loss 1.7038, time 29.34ms, mfu 1.00%
iter 65: loss 1.6765, time 34.19ms, mfu 0.99%
iter 66: loss 1.6753, time 24.18ms, mfu 1.01%
iter 67: loss 1.6520, time 32.21ms, mfu 1.00%
iter 68: loss 1.6507, time 24.39ms, mfu 1.02%
iter 69: loss 1.6393, time 34.40ms, mfu 1.00%
iter 70: loss 1.6225, time 22.98ms, mfu 1.03%
iter 71: loss 1.6056, time 25.14ms, mfu 1.04%
iter 72: loss 1.6153, time 32.50ms, mfu 1.02%
iter 73: loss 1.5781, time 38.61ms, mfu 1.00%
iter 74: loss 1.5811, time 25.01ms, mfu 1.01%
iter 75: loss 1.5685, time 25.72ms, mfu 1.02%
iter 76: loss 1.5772, time 32.20ms, mfu 1.01%
iter 77: loss 1.5609, time 31.56ms, mfu 1.00%
iter 78: loss 1.5640, time 24.52ms, mfu 1.02%
iter 79: loss 1.5576, time 32.90ms, mfu 1.01%
iter 80: loss 1.5383, time 24.55ms, mfu 1.02%
iter 81: loss 1.5333, time 29.33ms, mfu 1.02%
iter 82: loss 1.5295, time 30.50ms, mfu 1.01%
iter 83: loss 1.5148, time 21.00ms, mfu 1.05%
iter 84: loss 1.5037, time 33.27ms, mfu 1.03%
iter 85: loss 1.4962, time 31.66ms, mfu 1.02%
iter 86: loss 1.4975, time 25.85ms, mfu 1.03%
iter 87: loss 1.4983, time 32.17ms, mfu 1.02%
iter 88: loss 1.4771, time 31.44ms, mfu 1.01%
iter 89: loss 1.4807, time 26.20ms, mfu 1.02%
iter 90: loss 1.4682, time 31.88ms, mfu 1.01%
iter 91: loss 1.4617, time 24.77ms, mfu 1.02%
iter 92: loss 1.4534, time 25.04ms, mfu 1.04%
iter 93: loss 1.4403, time 33.34ms, mfu 1.02%
iter 94: loss 1.4445, time 25.91ms, mfu 1.03%
iter 95: loss 1.4284, time 23.70ms, mfu 1.05%
iter 96: loss 1.4329, time 32.09ms, mfu 1.04%
iter 97: loss 1.4164, time 24.78ms, mfu 1.05%
iter 98: loss 1.4045, time 31.79ms, mfu 1.03%
