Overriding: device = cuda
Overriding: compile = False
tokens per iteration will be: 4,096
found vocab_size = 36 (inside data\tool\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
C:\Users\Rayya\cs_gpt_tool\GPT-tool\train.py:199: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 18, with 3,220,480 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
[34m[1mwandb[0m: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
step 0: train loss 3.6255, val loss 3.6261
iter 0: loss 3.6290, time 1544.64ms, mfu -100.00%
iter 1: loss 3.6245, time 38.35ms, mfu -100.00%
iter 2: loss 3.6185, time 19.16ms, mfu -100.00%
iter 3: loss 3.6070, time 25.45ms, mfu -100.00%
iter 4: loss 3.5910, time 25.82ms, mfu -100.00%
iter 5: loss 3.5734, time 30.83ms, mfu 0.94%
iter 6: loss 3.5525, time 26.53ms, mfu 0.96%
iter 7: loss 3.5302, time 20.34ms, mfu 1.00%
iter 8: loss 3.5127, time 30.05ms, mfu 1.00%
iter 9: loss 3.4863, time 24.91ms, mfu 1.02%
iter 10: loss 3.4556, time 25.78ms, mfu 1.03%
iter 11: loss 3.4150, time 27.91ms, mfu 1.03%
iter 12: loss 3.3862, time 21.87ms, mfu 1.06%
iter 13: loss 3.3568, time 29.18ms, mfu 1.05%
iter 14: loss 3.3199, time 24.18ms, mfu 1.07%
iter 15: loss 3.2880, time 25.37ms, mfu 1.07%
iter 16: loss 3.2511, time 23.91ms, mfu 1.09%
iter 17: loss 3.2293, time 29.21ms, mfu 1.08%
iter 18: loss 3.1951, time 21.21ms, mfu 1.11%
iter 19: loss 3.1738, time 32.22ms, mfu 1.09%
iter 20: loss 3.1245, time 27.34ms, mfu 1.08%
iter 21: loss 3.1036, time 20.41ms, mfu 1.12%
iter 22: loss 3.0626, time 32.97ms, mfu 1.09%
iter 23: loss 3.0343, time 22.50ms, mfu 1.11%
iter 24: loss 3.0037, time 35.21ms, mfu 1.08%
iter 25: loss 2.9661, time 20.59ms, mfu 1.12%
iter 26: loss 2.9398, time 32.08ms, mfu 1.10%
iter 27: loss 2.9006, time 23.72ms, mfu 1.11%
iter 28: loss 2.8629, time 28.83ms, mfu 1.10%
iter 29: loss 2.8014, time 24.78ms, mfu 1.11%
iter 30: loss 2.7664, time 31.94ms, mfu 1.09%
iter 31: loss 2.7021, time 20.45ms, mfu 1.12%
iter 32: loss 2.6740, time 25.33ms, mfu 1.12%
iter 33: loss 2.6425, time 33.60ms, mfu 1.10%
iter 34: loss 2.5903, time 30.61ms, mfu 1.08%
iter 35: loss 2.5470, time 25.97ms, mfu 1.08%
iter 36: loss 2.4960, time 22.18ms, mfu 1.11%
iter 37: loss 2.4688, time 26.41ms, mfu 1.11%
iter 38: loss 2.4174, time 30.91ms, mfu 1.09%
iter 39: loss 2.3556, time 30.11ms, mfu 1.08%
iter 40: loss 2.3339, time 26.68ms, mfu 1.08%
iter 41: loss 2.3082, time 28.26ms, mfu 1.07%
iter 42: loss 2.2685, time 29.33ms, mfu 1.06%
iter 43: loss 2.2224, time 28.26ms, mfu 1.06%
iter 44: loss 2.1958, time 28.36ms, mfu 1.06%
iter 45: loss 2.1572, time 24.67ms, mfu 1.07%
iter 46: loss 2.1307, time 31.84ms, mfu 1.05%
iter 47: loss 2.0834, time 32.71ms, mfu 1.04%
iter 48: loss 2.0648, time 31.66ms, mfu 1.02%
iter 49: loss 2.0338, time 31.98ms, mfu 1.01%
iter 50: loss 2.0043, time 32.75ms, mfu 1.00%
iter 51: loss 1.9857, time 32.20ms, mfu 0.99%
iter 52: loss 1.9439, time 32.30ms, mfu 0.98%
iter 53: loss 1.9209, time 32.23ms, mfu 0.97%
iter 54: loss 1.8980, time 34.58ms, mfu 0.96%
iter 55: loss 1.8778, time 31.65ms, mfu 0.95%
iter 56: loss 1.8501, time 24.32ms, mfu 0.98%
iter 57: loss 1.8357, time 36.59ms, mfu 0.96%
iter 58: loss 1.8056, time 29.48ms, mfu 0.96%
iter 59: loss 1.7959, time 31.86ms, mfu 0.96%
iter 60: loss 1.7692, time 30.92ms, mfu 0.96%
iter 61: loss 1.7424, time 31.91ms, mfu 0.95%
iter 62: loss 1.7326, time 28.75ms, mfu 0.96%
iter 63: loss 1.7098, time 30.73ms, mfu 0.96%
iter 64: loss 1.7038, time 25.75ms, mfu 0.97%
iter 65: loss 1.6765, time 34.37ms, mfu 0.96%
iter 66: loss 1.6753, time 30.39ms, mfu 0.96%
iter 67: loss 1.6520, time 34.64ms, mfu 0.95%
iter 68: loss 1.6507, time 31.44ms, mfu 0.94%
iter 69: loss 1.6393, time 31.65ms, mfu 0.94%
iter 70: loss 1.6225, time 27.58ms, mfu 0.95%
iter 71: loss 1.6056, time 30.70ms, mfu 0.95%
iter 72: loss 1.6153, time 32.68ms, mfu 0.95%
iter 73: loss 1.5781, time 23.98ms, mfu 0.97%
iter 74: loss 1.5811, time 36.08ms, mfu 0.95%
iter 75: loss 1.5685, time 28.40ms, mfu 0.96%
iter 76: loss 1.5772, time 25.01ms, mfu 0.98%
iter 77: loss 1.5609, time 30.99ms, mfu 0.98%
iter 78: loss 1.5640, time 34.85ms, mfu 0.96%
iter 79: loss 1.5576, time 28.45ms, mfu 0.97%
iter 80: loss 1.5383, time 33.12ms, mfu 0.96%
iter 81: loss 1.5333, time 31.25ms, mfu 0.96%
iter 82: loss 1.5295, time 32.35ms, mfu 0.95%
iter 83: loss 1.5148, time 20.63ms, mfu 1.00%
iter 84: loss 1.5037, time 34.72ms, mfu 0.98%
iter 85: loss 1.4962, time 31.95ms, mfu 0.97%
iter 86: loss 1.4975, time 30.51ms, mfu 0.97%
iter 87: loss 1.4983, time 26.90ms, mfu 0.98%
iter 88: loss 1.4771, time 25.20ms, mfu 1.00%
iter 89: loss 1.4807, time 33.36ms, mfu 0.98%
iter 90: loss 1.4682, time 33.13ms, mfu 0.97%
iter 91: loss 1.4617, time 22.39ms, mfu 1.01%
iter 92: loss 1.4534, time 34.32ms, mfu 0.99%
iter 93: loss 1.4403, time 31.04ms, mfu 0.98%
iter 94: loss 1.4445, time 34.46ms, mfu 0.97%
iter 95: loss 1.4284, time 30.94ms, mfu 0.97%
iter 96: loss 1.4329, time 25.56ms, mfu 0.98%
iter 97: loss 1.4164, time 30.07ms, mfu 0.98%
iter 98: loss 1.4045, time 31.46ms, mfu 0.98%
